id_vehiculo,marca_vehiculo
1,AMAROK
10,HAYAY
100,DFMCO
1000,UD TRUNCKS
1001,CRAISLER
1002,UD TRUKS
1003,FREIGHT LINER
1004,ILEGILE
1005,VARICA
1006,AHM
1007,M.D
1008,FRETHLINE
1009,N/V
101,JAWALTD
1010,PULSAR
1011,TOHOG
1012,NEON
1013,ASIA HIERO
1014,PETEIBIT
1015,SENTRA
1016,MITSIBISHI
1017,GEELY
1018,SANNO
1019,YIBEW
102,YIBAN
1020,JMC
1021,ZUZUKI
1022,NMERCEDEZ B.
1023,AUDY
1024,ALTIMA
1025,ZX-AUTO
1026,VAXAS
1027,CURI
1028,FUID
1029,PLATINA
103,COLT DODGE
1030,LONG SHEN
1031,KENWORDH
1032,KAWASAKY
1033,JIANLING
1034,JORIDA
1035,GENESSIS
1036,ZANGSHEN
1037,DESTILITY
1038,MERCEDEZBENZ
1039,ITALICA
104,RODEO
1040,SENIANG
1041,WHITEGMC
1042,LOCIN
1043,DAELIM HONDA
1044,EAGLE SUMMIT
1045,AZUL
1046,WUYANS
1047,DUCATI
1048,CHANGANBRAND
1049,ASI HERO
105,FREIGHTLINGER
1050,ALERO
1051,FREEIGHLINER
1052,DACIA
1053,SHINED
1054,DALIM
1055,BAJOJ
1056,VENTUS TOUGH
1057,QUANYANG
1058,SANGYANG
1059,CITRUCH
106,HIUNDAI
1060,DMG
1061,ROUSBLE
1062,FOIN
1063,CUEROST
1064,USUZU
1065,FAW JABAO
1066,TRAX
1067,SACHIS MOPEDS
1068,CHANGANI
1069,PONTIAR
107,HENDRICKSON
1070,BDONG FENG
1071,GREAT WAL
1072,WAYSTAS
1073,HUDI
1074,DAVUN
1075,BDONGFENG
1076,KENNORTH
1077,BLE BIRD
1078,TURBO
1079,PASGINSA
108,ACALUS
1080,IVS
1081,FREICHLINER
1082,SRRON
1083,PAEWOD
1084,PLOTINA
1085,PONESHE
1086,KYNLON
1087,TALINA
1088,HEOLUS
1089,GOLD CROWN
109,KOODIAK
1090,BA
1091,FREIH HUW
1092,CHRISTER
1093,ZUBARU
1094,FREIGHLINDIR
1095,FREDON
1096,FREIGH TLINER
1097,PORCLE
1098,MOTOLANJA
1099,DOGDE
11,NISSA
110,SEPHIL
1100,MAVESA
1101,PHANTON
1102,WYANG
1103,SLFINERAY
1104,KINWOD
1105,DAIHASU
1106,DAIHAT
1107,MURAND
1108,CHAYSLER
1109,BWM
111,WAYANG
1110,PORD
1111,AUTOMOVIL
1112,SUCH MOPEAS
1113,HYDAI
1114,POLO
1115,WANFERD
1116,FASTRAIN
1117,EXCEL
1118,FRUEHAUF
1119,MOTOLAMSA
112,WHA
1120,FREIGHTTINER
1121,MITSUBHISHI
1122,SINSILAI
1123,CHEVRLET
1124,CORSA
1125,SAGA POWER
1126,BORRUCHI
1127,NISAN
1128,GREAT
1129,MOTOGO
113,GALENT
1130,SORPENTO
1131,JIALINO
1132,CHEROKI
1133,HERWORTH
1134,SUKIDA
1135,YUNDAY
1136,AUDA NISSAN
1137,MINI TRUCK
1138,FORWARD
1139,LENCIN
114,DWFO
1140,MITSUBISHI
1141,MACK
1142,IZUSU
1143,KENWIRTH
1144,JEEP
1145,ESUZU
1146,ZONGSHEN
1147,PANEL
1148,RINAULT
1149,VENTO
115,SANGYONG
1150,PETERBILT
1151,NISSAS
1152,FAW JIABAO
1153,ARO
1154,ROTOLANSA
1155,CHEVORLET
1156,ZUSUKI
1157,CHEUROLET
1158,WULING
1159,RANGER ROVER
116,K�A
1160,ZX
1161,SUBARU GL
1162,COLT (DODGE)
1163,UD TRUCKS
1164,FREIGHTLNER
1165,TOYOTA JEEP
1166,TOYOTA TERCEL
1167,REMKE
1168,CMC
1169,WANJAN
117,CHERRYQQ
1170,YUGO
1171,CHANGAN BRAND
1172,SIN DATOS
1173,MERCEDES-BENZ
1174,CHEHROLET
1175,WULINA
1176,VOLKSWAGEN POLO
1177,SIZUKI
1178,TRAXX
1179,YAMAHAA
118,PIOTEGE
1180,KENWORT
1181,MERCURI
1182,BUIK
1183,RUNER
1184,PRYMOUNT
1185,FUSO
1186,MERCEDES BNEZ
1187,GREATDANE
1188,CARTER
1189,27
119,SHUN HUA
1190,MITSUBUSHI
1191,NATIVA
1192,KIMCO
1193,PIXMOUTH
1194,COMMER
1195,LOYLAND
1196,KINETIC
1197,PLIMOUTH
1198,M.B.
1199,FAW
12,MCI
120,QIANJIANG
1200,FREIGTHILINER
1201,RAMBLER
1202,CHANGHE
1203,111
1204,BW
1205,KIMLON
1206,HKINLON
1207,FREIGLHINER
1208,CENTURY
1209,WRITE
121,COT
1210,FREINGTHINER
1211,SUSUKI
1212,DISCOVERES
1213,BLUEBIRD
1214,CHEVRON
1215,TOYOTA/YARIS
1216,DEUGEOT
1217,TOUYOTA
1218,UD TRUCK
1219,RENAUH
122,DISCOVERI BAJAJ
1220,SSANGYONG
1221,HKENWONTH
1222,HAFFI
1223,ONCIN
1224,OMC
1225,DONG FENG
1226,CANTER
1227,ECHO
1228,TOUG
1229,BAJAJA
123,SPORT
1230,ALARTFORD
1231,LONCEN
1232,KINCO
1233,NARICA
1234,HYOSUNJ
1235,SKIGO
1236,JEIDA
1237,SAMSUNG
1238,DISCOVERY
1239,HONGDOU
124,ZONGHEN
1240,FRIDOM
1241,WAYSTOR
1242,CHEROQUI
1243,KEMWORTH
1244,KIA.
1245,RBELLIAN
1246,SUZUKY
1247,TOUGT
1248,EASTMAN
1249,MOTOLONSA
125,KYNCO
1250,LIADA
1251,GENISIS
1252,CRISLER
1253,SHYNERAY
1254,REBELIAN
1255,WILEX
1256,VOLKSGWAGEN
1257,CHANIGAN
1258,ADMIRAL
1259,KINLONG
126,NO TRUCKS
1260,ALFA ROMERO
1261,TOUGLT
1262,PULSAR BAJAJ
1263,LOUZU
1264,KEIKO
1265,SMC
1266,AVAMT
1267,ATOS
1268,MINI COOPERS
1269,LON-V
127,MAYEN
1270,COLD VISTA
1271,DESTIMY
1272,PIFAN
1273,FASTRAM
1274,WHITHE
1275,KILOG
1276,SHINEROY
1277,KILON
1278,HENERY
1279,DIHAZU
128,NUSIN
1280,RENAVIT
1281,MOUCSA
1282,KEOWAY
1283,PLATINO
1284,ILALING
1285,CADDY
1286,SH/NERAY
1287,GOL
1288,MOVESA
1289,BAOM AMWAG
129,NEGRO
1290,KEWAY
1291,SCI�N
1292,CLN
1293,DAELIMHNDA
1294,DEELYM
1295,JUILING
1296,TUC TUC
